"id","name","email","avatar"
"64c8d958249fae54bae90bb9",GoIT,goit@gmail.com,""
"64c8d958249fae54bae90bb8",Foodies user,user@gmail.com,""
"64c8d958249fae54bae90bb7",Larry Pageim,larry@gmail.com,""
"64c8d958249fae54bae90b01",Harry Potter,harry-potter@gmail.com,""
"64c8d958249fae54bae90b02",Hermione Granger,hermione.granger@gmail.com,""
"64c8d958249fae54bae90b03",Ron Weasley,ron.weasley@gmail.com,""
"64c8d958249fae54bae90b04",Albus Dumbledore,albus.dumbledore@gmail.com,""
"64c8d958249fae54bae90b05",Severus Snape,severus.snape@gmail.com,""
"64c8d958249fae54bae90b06",Sirius Black,sirius.black@gmail.com,""
"64c8d958249fae54bae90b07",Draco Malfoy,draco.malfoy@gmail.com,""
"64c8d958249fae54bae90b08",Luna Lovegood,luna.lovegood@gmail.com,""
"64c8d958249fae54bae90b09",Neville Longbottom,neville.longbottom@gmail.com,""
"64c8d958249fae54bae90b10",Ginny Weasley,ginny.weasley@gmail.com,""
